Variant,Macro_F1,Accuracy
Full Model,0.9841333080349394,0.9998997276980299
No Message Passing,0.9900241484060464,0.9999373298112687
No Dropout,0.9891131731113652,0.9999310627923956
Hidden=64,0.9644797573762315,0.9997775208300039
